merry ann's diner	1 e main st
du-par's	1 fremont st
mcdonald's	1 rue notre-dame o
mcdonald's	1 s main st
mcdonald's	10 - 250 shawville boulevard se
don tortaco mexican grill	10 n eastern ave, ste 110
mcdonald's	10 the queensway
a&w	100 auburn meadows drive se, auburn village
renaissance phoenix downtown hotel	100 n 1st st
eat'n park	100 park manor dr
jack cleveland casino	100 public square
pittsburgh international airport	1000 airport blvd
don tortaco	1000 e cheyenne ave
a&w	10007 24th street sw
mcdonald's	1001 islington avenue
the icehouse	1001 wisconsin pl
eat'n park	1002 ohio river blvd
ihop	1002 sutherland dr
mcdonald's	10020 s eastern
mcdonald's	1003 e lake mead blvd
born and raised	10050 s eastern ave
pt's gold	10075 s eastern ave
mcdonald's	101 hoffman blvd
karakahl country inn	101 perimeter rd
mcdonald's	1010 4th ave
mcdonald's	1010 e broad st
waffle house	1010 vinehaven dr ne
mcdonald's	10108 charlotte hwy
jack in the box	10121 n tryon st
waffle house	1014 regent pkwy
subway	10217 w charleston blvd
filiberto's mexican food	10227 north metro parkway
buffalo wild wings	10271 s. eastern avenue, suite 121
waffle house	103 stetson dr
haggen food & pharmacy	1031 nevada hwy
steak 'n shake	10330 cascade crossing
valero	1038 rt 11
wild west cowboy steakhouse	104 e monroe ave
mcdonald's	104 edmonton trail ne
mcdonald's	10400 rue lajeunesse
roberto's taco shop	10430 bermuda rd, ste 1
carmine's	10430 s eastern ave
hooters eastern	10430 s eastern ave
mcdonald's	1045 pape avenue
del taco	10485 spencer st
the edge of town	10490 w cheyenne ave
filiberto's mexican food	1050 w. chandler blvd
subway	10550 s highlands pkwy, ste 100
horizon ridge mini-mart	10575 s eastern ave, ste 190
mcdonald's	10590 southern highlands pkwy
don tortaco mexican grill	106 n stephanie st
ihop	10603 w olive
subway	10604 s eastern ave, ste d
robertos taco shop	10612 s eastern ave
cactus jacks saloon	10648 s maryland pkwy
ihop	10662 e southern ave
downtown crown pub	107 e charleston blvd, ste 150
white castle	107 n 4th st
jack in the box	10730 s tryon st
filiberto's mexican food	1075 n. 51st ave, ste 109
cafe 24/7	1077 s kyrene rd
filiberto's mexican food	10777 grand ave
mcdonald's	10785 w olive ave
distill - a local bar	10820 w charleston blvd
tim hortons	1084 islington avenue
pt's pub	1089 e tropicana ave
mcdonald's	109-5222 - 130th avenue se
pt's pub	10940 s eastern ave
waffle house	1100 dallas cherryville hwy
mcdonald's	1100 davis drive
waffle house	1100 s cannon blvd
mcdonald's	11005 yonge street
mcdonald's	1101 roosevelt blvd
grand cafe	11011 w charleston blvd
mcdonald's	1102 regent st
black mountain grill	11021 s eastern ave
tim hortons	1103 17 avenue sw
merry ann's diner	1103 w oregon st
denny's	1104 tuscola blvd
atlantis mexican restaurant	1109 n dysart rd, ste d
hyatt regency pittsburgh international airport	1111 airport blvd
denny's	11121 grand ave
mcdonald's	11125 e riggs rd
the tavern	1113 s rainbow blvd
mcdonalds	11155 14st street ne
mcdonald's	1125 sheppard avenue e
dotty's #1	1131 e tropicana ave
the lakeview	1132 dundas street w
tim horton's	11472 braeside drive sw
midnight diner	115 e carson blvd
the dam restaurant	115 e tropicana ave
hooters casino hotel las vegas	115 e tropicana ave
steak 'n shake	115 e tropicana ave
hooters	115 e tropicana ave
tim horton's	115 montreal road
tim hortons	115 times avenue
ihop	1150 n higley rd
denny's	1150 s country clb
denny's	11511 40 street se
flying j	11511 40th street se
the bar at bermuda & st. rose	11624 bermuda rd
denny's	117 bowridge drive nw
owl of minerva	1177 central parkway w
subway	118 boulder hwy
the gladstone cafe	1181 queen street w
tim hortons	1185 49 avenue ne
mcdonald's	1185 dupont street
sean patrick's pub	11930 southern highlands pkwy
mcdonald's	1195 e sahara ave
wildfire sunset	1195 w sunset rd
eat'n park	1197 washington pike
market street cafe	12 e ogden ave
holo holo	12 east ogden ave
a&w	120 brickyard way
ace hotel pittsburgh	120 s whitfield st
a&w	1200 rue sainte-catherine est
denny's	1201 e broadway
mcdonald's	1201 w sugar creek rd
denny's	1201 w warm springs rd
carl's jr	1202 n 51st ave
buck's tavern	1204 n nellis blvd
tacos mexico	1205 e charleston blvd
the martini	1205 s fort apache rd
denny's	121 dundas street w
denny's	1210 e main
federico´s	12100 n dysart rd, ste 100
tim hortons	1211 12 avenue sw
perkins restaurant & bakery	1214 w university ave
denny's	1218 n litchfield rd
mcdonald's	1221 king street w
hotel mortagne	1228 nobel street
subway	1229 e mckellips rd, ste 104
mcdonald's	123 yonge street
ihop	1230 n 51st ave
ihop	1230 w warm springs rd
putters bar & grill	1231 american pacific dr
mulligan's border bar & grill	1235 e pebble rd
waffle house	1237 n 59th ave
mcdonald's	1237 nevada hwy
dunn's famous	1249 rue metcalfe
denny's	125 cross avenue
anderson air mechanical	125 las vegas blvd s
eat'n park	1250 banksville rd
mcdonald's	1250 s country club
filiberto's mexican food	1250 w. broadway rd
love's travel stop	12501 apex great basin way
humberto's taco shop	12550 w thunderbird rd, ste 113
mcdonald's	1256 eglington avenue w
mcdonald's	12690 rockside rd
mcdonald's	127 church street
filiberto's mexican food	1270 e. apache blvd
mcdonald's	1275 boulevard rosemont
a&w	1277 york mills road
mcdonalds	1280 markham road
blueberry hill family restaurant	1280 s decatur blvd
mcdonald's	1280 s water st
pt's pub	1281 s decatur blvd
tim hortons	1286 kingston road
monte's pizza restaurant	1288 s nellis blvd
claim jumper	129 fremont st
betty's bomb ass burgers	12910 taft ave
beantown tavern	130 matthews station st
mcdonald's	1300 kingston road
mcdonald's	1301 brock street s
sunset station	1301 w sunset rd
grand café	1301 w sunset rd
mcdonald's	13081 yonge street
le resto du village	1310 rue wolfe
roberto's taco shop	1311 w craig rd
madison marriott west	1313 john q hammons drive
a&w	1320 14 street sw
subway	1320 w elliot rd, ste 108
felipito's mexican food	1325 e tropicana ave
mcdonald's	1325 w broadway
denny's	1330 s power rd
pt's pub	1331 s boulder hwy, ste 100
dianna's deli & restaurant	1332 w 117th st
ihop	134 w woodlawn rd
sierra gold	1341 w warm springs
mcdonald's	1343 silverado ranch
denny's	1343 w broadway
whataburger	1346 s rural rd
mcdonald's	135 kingston road e
del taco	135 n stephanie st
love's travel stop	135 sutton ridge ln
crown & anchor british pub	1350 e tropicana ave
jack-in-the box	13610 n scottsdale rd
winco foods	1363 n arizona ave
denny's	1368 n cooper rd
waffle house	13727 independence blvd
mcdonald's	13780 bow bottom trl se
denny's	138 crowfoot way nw
denny's	1380 matheson boulevard e
subway	1380 w cheyenne ave, ste 100
filiberto's mexican food	13821 w. glendale ave
mcdonald's	1383 16th avenue, unit 1
pt's gold	1383 e silverado ranch rd
dunkin' donuts	13882 cedar rd
mcdonald's	13933 n litchfield rd
filiberto's mexican food	1397 e. williamsfield rd, ste 101
filiberto's mexican food	13972 n. 83rd ave
jake's	140 public sq
mcdonalds	1400-33 heritage meadows way se
speedys grub shack	14001 lakewood heights blvd
denny's	1401 n 75th ave
pepe's tacos	1401 n decatur blvd
ihop	1401 s decatur blvd
filiberto's mexican food	1402 e. chandler blvd
joe's panini	1404 rue drummond
mcdonald's	1406 w craig rd
perkins restaurant & bakery	1410 damon rd
waffle house	14106 statesville rd
mcdonald's	14110 rivergate pkwy
mcdonald's	1422 17 avenue sw
mcdonald's	14220 boren st
whataburger	14251 w indian school byp
mcdonald's	1429 hwy 51 w
mcdonald's	1429 w baseline
humpty's family restaurants	14315 macleod trail s
surf city bar and grill	1435 w craig rd
kale personal chef services	14362 n frank lloyd wright blvd, ste 1000
filiberto's mexican food	1440 n. dysart ave
timbers - horizon ridge	1450 w horizon ridge pkwy
carl's jr	146 north stephanie st
whataburger	1460 n dysart rd
don tortaco	1461 s boulder hwy
denny's	14799 w grand ave
filiberto's mexican food	1480 e. main st 85203
jack in the box	14842 n frank lloyd wright blvd
ihop	1491 n dysart rd
a&w	1494 boulevard de la côte-vertu
la bayou casino	15 fremont st
speedy street taco	15 n 40th pl
buffalo wild wings	150 e centennial pkwy, ste 101
del taco	150 n boulder hwy
starbucks	150 parklawn road, unit a
mcdonald's	150 rimrock road
mcdonald's	150 rue sainte-catherine o, suite 163 et 214
mcdonald's	1500 avenue atwater
mcdonald's	1500 e franklin blvd
railroad pass hotel & casino	1500 railroad pass casino rd
the rail coal fire bistro	1500 route 138
filiberto's mexican food	1501 n. 75th ave
hilton garden inn	1501 s neil st
mcdonald's	1501 w lake mead
blueberry hill family restaurant	1505 e flamingo rd
24/7 coffee shop	15091 s komatke ln
tim hortons	151 city centre drive
merry ann's diner	1510 s neil st
mcdonald's	1511 hwy 29 n
carl's jr	1519 w baseline rd
corner store	1520 n verrado way
carl's jr	1522 w charleston blvd
mcdonald's	1525 w elliot rd
og gentlemen's club	1531 las vegas blvd s
mcdonald's	1532 n 51st ave
jack in the box	15333 w waddell rd
a&w	1540 boulevard de maisonneuve o
mcdonald's	1540 e 55th st
pt's gold	1540 west sunset rd, ste 140
tim hortons	15425 bannister road se
holiday inn cleveland-strongsville	15471 royalton rd
filiberto's mexican food	15541 w. roosevelt st, ste 107
filiberto's mexican food	15602 n. 35th ave
mcdonald's	1565 boulevard de la côte-vertu
subway	1568 danforth avenue
mcdonald's	1571 sandhurst circle
le club sandwich	1578 rue saint catherine e
st viateur bagel shop	158 rue saint viateur w
a&w	1585 warden avenue
barefoot bob's beach bar & gaming	1590 e flamingo rd
bar code burger bar	1590 e flamingo rd
market district strongsville	15919 pearl rd
salsita's mexican food	1598 e roosevelt st
savona bistro	160 e flamingo rd
the westin las vegas hotel & spa	160 east flamingo rd
mcdonald's	160 sandalwood parkway e
mcdonald's	160 spadina ave
mcdonald's	1600 90 avenue sw
mcdonald's	1600 highway 7
filiberto's mexican food	1601 e. mc dowell rd
mcdonald's	1601 w charleston blvd
mcdonald's	1605 s neil
mcdonald's	1620 sardis rd
tim hortons	1621 birchmount road
chilly palmers	1640 w warm springs rd
mcdonald's	1647 rue saint-denis
denny's	16487 w bell rd #109, ste 109
pt's gold	1661 e sunset rd
denny's	1661 e warner rd
hard hat lounge	1675 industrial rd
jack in the box	16760 w bell rd
coco's bakery restaurant	169 e tropicana ave
mcdonald's	1692 rue mont-royal
subway	170 bloor street w, unit 104
tiffany's cafe	1700 las vegas blvd s
denny's	17053 e shea blvd
steak 'n shake	1709 s neil st
mcdonald's	17155 yonge street
filiberto's mexican food	17224 n. 19th ave
tim hortons	17250 highway 27
filiberto's mexican food	1727 w. glendale ave
steak 'n shake	17325 loraine ave
mcdonald's	1735 danforth avenue
tim hortons	175 bloor street e
steiner's nevada style pub	1750 n buffalo dr, ste 115
denny's	1750 w chandler blvd
carl's jr	1753 w bethany home rd
filiberto's mexican food	1755 w. main st
best western voyageur place hotel	17565 yonge street
mcdonald's	177 country hills boulevard nw, suite 300
mcdonald's	17760 yonge street
fireside restaurant & tavern	1785 e cactus ave
mcdonald's	1785 e university
jack in the box	1790 w chandler blvd
denny's	1798 thierer rd
hoover dam lodge	18000 hwy 93
badger cafe	1801 e tropicana ave, ste 8
waffle house	1801 w baseline rd
jack-in-the box	1802 w bell rd
denny's	1804 19th st ne
denny's	1810 s las vegas blvd
mr d's sportsbar & grill	1810 s rainbow blvd
del taco	1811 w craig rd
tim hortons	1820b uxbridge drive nw
jerry's famous coffee shop	1821 n las vegas blvd
vaqueros carne asada	1821 w southern ave
denny's	1829 lincoln hwy
waffle house	1831 s country club dr
julioberto's	1832 w thunderbird rd
jack in the box	1833 w van buren st
whataburger	1840 s 19th ave
filiberto's mexican food	1845 e. guadalupe rd
waffle house	1845 remount rd
mcdonald's	185 guelph street
mcdonald's	1850 s 7th st
mcdonald's	1851 w bell rd
the triple play	1875 s decatur blvd
shangri-la hotel	188 university avenue
mcdonald's	1890 avenue road
circle k	18950 brook park rd
mcdonald's	1899 brock road
subway	1899 brock road
huh ga ne	19 finch avenue w, unit a
buffalo wild wings	190 w craig rd
mcdonald's	1900 w warner rd
the bar @trails village	1916 village center cir, ste 6
phoenix children's hospital	1919 e thomas rd
ihop	1920 w bell rd
steak 'n shake	1926 sardis rd n
mcdonald's	1927 w franklin blvd
roberto's taco shop	193 n gibson rd
timbers - gibson	193 n gibson rd, ste 170
haggen food & pharmacy	1940 village center cir
mcdonald's	1945 e baseline rd
jack in the box	1945 w main st
whataburger	1947 w broadway rd
mcdonald's	195 north queen street
charlie's down under	1950 n buffalo dr
mcdonald's	1960 e main
subway	1961 n nellis blvd
mcdonald's	1966 eglinton avenue e
sheraton suites akron/cuyahoga falls	1989 front st
winchell's pub & grill	199 e warm springs rd
filiberto's mexican food	1993 w. elliot rd
denny's	1994 w baseline rd
mcdonald's	2 allaura boulevard
mcdonald's	2 ingram drive
fran's restaurant	20 college street
